Name,Age,Survived
"Thomas, Master. Assad Alexander",0.42,1
"Hamalainen, Master. Viljo",0.67,1
"Baclini, Miss. Eugenie",0.75,1
"Baclini, Miss. Helene Barbara",0.75,1
"Richards, Master. George Sibley",0.83,1
"Caldwell, Master. Alden Gates",0.83,1
"Allison, Master. Hudson Trevor",0.92,1
"Nakid, Miss. Maria (""Mary"")",1.0,1
"Dean, Master. Bertram Vere",1.0,1
"Mallet, Master. Andre",1.0,1
"Becker, Master. Richard F",1.0,1
"Johnson, Miss. Eleanor Ileen",1.0,1
"Hirvonen, Miss. Hildur E",2.0,1
"Navratil, Master. Edmond Roger",2.0,1
"Quick, Miss. Phyllis May",2.0,1
"Richards, Master. William Rowe",3.0,1
"Asplund, Master. Edvin Rojj Felix",3.0,1
"Coutts, Master. William Loch ""William""",3.0,1
"Navratil, Master. Michel M",3.0,1
"Laroche, Miss. Simonne Marie Anne Andree",3.0,1
"Wells, Miss. Joan",4.0,1
"Becker, Miss. Marion Louise",4.0,1
"Dodge, Master. Washington",4.0,1
"Karun, Miss. Manca",4.0,1
"Kink-Heilmann, Miss. Luise Gretchen",4.0,1
"Sandstrom, Miss. Marguerite Rut",4.0,1
"Johnson, Master. Harold Theodor",4.0,1
"Emanuel, Miss. Virginia Ethel",5.0,1
"Baclini, Miss. Marie Catherine",5.0,1
"Asplund, Miss. Lillian Gertrud",5.0,1
"West, Miss. Constance Mirium",5.0,1
"Harper, Miss. Annie Jessie ""Nina""",6.0,1
"Moor, Master. Meier",6.0,1
"Hart, Miss. Eva Miriam",7.0,1
"Collyer, Miss. Marjorie ""Lottie""",8.0,1
"Davies, Master. John Morgan Jr",8.0,1
"Coutts, Master. Eden Leslie ""Neville""",9.0,1
"Goldsmith, Master. Frank John William ""Frankie""",9.0,1
"Carter, Master. William Thornton II",11.0,1
