Name,Age,Survived
"Andrews, Miss. Kornelia Theodosia",63.0,1
"Artagaveytia, Mr. Ramon",71.0,0
"Barkworth, Mr. Algernon Henry Wilson",80.0,1
"Connors, Mr. Patrick",70.5,0
"Crosby, Capt. Edward Gifford",70.0,0
"Duane, Mr. Frank",65.0,0
"Fortune, Mr. Mark",64.0,0
"Goldschmidt, Mr. George B",71.0,0
"Harris, Mr. George",62.0,1
"Millet, Mr. Francis Davis",65.0,0
"Mitchell, Mr. Henry Michael",70.0,0
"Nicholson, Mr. Arthur Ernest",64.0,0
"Nysveen, Mr. Johan Hansen",61.0,0
"Ostby, Mr. Engelhart Cornelius",65.0,0
"Stead, Mr. William Thomas",62.0,0
"Stone, Mrs. George Nelson (Martha Evelyn)",62.0,1
"Sutton, Mr. Frederick",61.0,0
"Svensson, Mr. Johan",74.0,0
"Turkula, Mrs. (Hedwig)",63.0,1
"Van der hoef, Mr. Wyckoff",61.0,0
"Wheadon, Mr. Edward H",66.0,0
"Wright, Mr. George",62.0,0
